Player,Team,Position,DRS,FramingRuns Saved,PitchesFramed,StolenBase Runs,PickoffRuns,ThrowingRuns,INF GBRuns,DP RunsStart,DP RunsPivot,IFFBRuns,BuntRuns,OF FlyBallRuns,OF ArmRuns,BlockingRuns
"Cole Raile","VMI","C","7.23","1.59","478","0.80","0.00","0.80","0.08","0.11","0.00","0.00","1.07","0.00","0.00","3.58"
"Ty Kaunas","Maryland","SS","7.23","0.00","0","0.00","0.00","0.00","5.93","0.87","0.37","0.06","0.00","0.00","0.00","0.00"
"J.R. Nelson","Illinois","SS","7.21","0.00","0","0.00","0.00","0.00","5.63","0.62","0.92","0.03","0.00","0.00","0.00","0.00"
"Karsen Waslefsky","New Mexico","SS","7.19","0.00","0","0.00","0.00","0.00","6.03","0.41","0.72","0.02","0.00","0.00","0.00","0.00"
"Brennan Holt","Alabama","2B","7.18","0.00","0","0.00","0.00","0.00","6.39","0.14","0.56","0.09","0.00","0.00","0.00","0.00"
"Xavier Melendez","UT Arlington","2B","7.18","0.00","0","0.00","0.00","0.00","6.09","0.38","0.62","0.09","0.00","0.00","0.00","0.00"
"Daniel Patterson","Pepperdine","3B","7.17","0.00","0","0.00","0.00","0.00","6.73","0.49","0.00","0.04","-0.09","0.00","0.00","0.00"
"Trevian Martinez","UC San Diego","C","7.10","3.95","576","-0.38","0.00","-0.38","0.00","0.00","0.00","0.01","-0.16","0.00","0.00","3.67"
"Clayton Namken","Texas State","C","7.10","3.58","576","-0.21","-0.26","-0.47","0.12","0.00","0.00","0.00","0.71","0.00","0.00","3.16"
"Nolan Book","Troy","SS","7.09","0.00","0","0.00","0.00","0.00","5.76","0.55","0.70","0.07","0.00","0.00","0.00","0.00"
"Brody Capps","Southeastern Louisiana","1B","7.09","0.00","0","0.00","0.00","0.00","6.72","0.10","0.05","0.12","0.09","0.00","0.00","0.00"
"Dominic Decker","Ole Miss","2B","7.09","0.00","0","0.00","0.00","0.00","6.54","-0.17","0.70","0.02","0.00","0.00","0.00","0.00"
"Martell Davis","Oral Roberts","2B","7.04","0.00","0","0.00","0.00","0.00","6.13","0.50","0.36","0.04","0.00","0.00","0.00","0.00"
"Matt Chavez","California Baptist","C","7.01","3.27","416","0.03","-0.40","-0.37","0.00","0.00","0.00","0.00","-0.01","0.00","0.00","4.12"
"Taylor Kirk","Fordham","2B","7.01","0.00","0","0.00","0.00","0.00","6.33","0.38","0.28","0.02","0.00","0.00","0.00","0.00"
"Mike Toth","Mount St. Mary's","C","6.98","3.52","373","0.11","0.00","0.11","0.38","-0.01","0.00","0.00","0.17","0.00","0.00","2.80"
"Ryder Robinson","BYU","SS","6.98","0.00","0","0.00","0.00","0.00","6.20","0.62","0.05","0.11","0.00","0.00","0.00","0.00"
"Colt Brown","Louisiana","C","6.97","1.61","583","-0.38","0.72","0.34","0.02","0.12","0.10","0.00","-0.55","0.00","0.00","5.32"
"Josh Dykhoff","Kansas","1B","6.96","0.00","0","0.00","0.00","0.00","6.92","0.10","0.23","0.01","-0.32","0.00","0.00","0.00"
"David Whittle","UC Riverside","C","6.95","2.44","387","0.25","1.76","2.01","0.05","0.00","-0.01","0.00","0.00","0.00","0.00","2.46"
"Scott Gell","Stony Brook","C","6.95","1.27","470","0.30","2.05","2.35","0.10","0.00","0.10","0.00","0.94","0.00","0.00","2.19"
"Kaden Amundson","Arkansas State","C","6.94","4.70","540","-0.13","-0.04","-0.17","0.00","0.00","0.00","0.01","0.27","0.00","0.00","2.11"
"Dylan Fitzsimmons","St. John's","RF","6.94","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.23","2.72","0.00"
"Luke Williams","Jacksonville State","LF","6.93","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.57","1.36","0.00"
"Davis Hamilton","Minnesota","3B","6.93","0.00","0","0.00","0.00","0.00","5.49","0.90","0.00","0.09","0.45","0.00","0.00","0.00"
"Jordan Kang","Harvard","3B","6.92","0.00","0","0.00","0.00","0.00","6.50","0.27","-0.02","0.01","0.16","0.00","0.00","0.00"
"Robert Orr","Pacific","SS","6.90","0.00","0","0.00","0.00","0.00","5.57","0.86","0.40","0.07","0.00","0.00","0.00","0.00"
"Caden Dulin","Pittsburgh","SS","6.90","0.00","0","0.00","0.00","0.00","4.72","1.34","0.79","0.05","0.00","0.00","0.00","0.00"
"Jason Torres","Alabama","3B","6.89","0.00","0","0.00","0.00","0.00","6.04","0.31","0.00","0.00","0.55","0.00","0.00","0.00"
"Connor Walker","McNeese","C","6.86","1.60","341","0.73","2.56","3.29","0.10","0.00","0.00","0.00","0.31","0.00","0.00","1.56"
"Andres Matias","Austin Peay","SS","6.83","0.00","0","0.00","0.00","0.00","5.40","0.61","0.76","0.06","0.00","0.00","0.00","0.00"
"Thomas Schreck","Army","SS","6.83","0.00","0","0.00","0.00","0.00","5.96","0.29","0.53","0.06","0.00","0.00","0.00","0.00"
"Carson Tinney","Texas","C","6.80","3.23","579","0.24","0.00","0.24","0.18","0.00","0.00","0.02","0.10","0.00","0.00","3.03"
"Bristol Carter","Auburn","CF","6.79","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.32","1.47","0.00"
"Landon Akers","Bellarmine","SS","6.78","0.00","0","0.00","0.00","0.00","6.26","0.08","0.41","0.03","0.00","0.00","0.00","0.00"
"Logan Johnstone","Vanderbilt","RF","6.78","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.78","0.00","0.00"
"Michael Farina","Illinois","2B","6.74","0.00","0","0.00","0.00","0.00","5.38","0.70","0.61","0.04","0.00","0.00","0.00","0.00"
"Nick Barron","Northwestern","1B","6.74","0.00","0","0.00","0.00","0.00","5.97","0.06","0.01","0.07","0.64","0.00","0.00","0.00"
"Omar Serna Jr.","LSU","C","6.74","4.55","350","0.04","0.00","0.04","-0.33","0.00","-0.01","0.00","1.12","0.00","0.00","1.36"
"Keegan Giger","Nicholls","2B","6.73","0.00","0","0.00","0.00","0.00","5.13","0.60","0.96","0.06","0.00","0.00","0.00","0.00"
"Kevin Takeuchi","USC","CF","6.73","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.49","0.24","0.00"
"Jack Spanier","Minnesota","SS","6.71","0.00","0","0.00","0.00","0.00","5.82","-0.03","0.89","0.02","0.00","0.00","0.00","0.00"
"Brady Miller","Lipscomb","2B","6.71","0.00","0","0.00","0.00","0.00","5.79","0.17","0.73","0.01","0.00","0.00","0.00","0.00"
"Easton Moomau","UTRGV","3B","6.70","0.00","0","0.00","0.00","0.00","6.66","0.33","0.00","0.08","-0.38","0.00","0.00","0.00"
"Jack Bergstrom","Texas A&M-Corpus Christi","C","6.69","4.14","236","0.11","0.00","0.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.44"
"Evan Rogers","New Orleans","2B","6.67","0.00","0","0.00","0.00","0.00","4.76","0.52","1.31","0.08","0.00","0.00","0.00","0.00"
"Derrick Pitts","Cincinnati","RF","6.64","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.37","2.27","0.00"
"Freddy Rodriguez","Memphis","3B","6.64","0.00","0","0.00","0.00","0.00","5.14","0.05","0.00","0.04","1.42","0.00","0.00","0.00"
