Player,Team,Season,Type,PitchType,Metric,Value,Rank
"Hagan Banks","Alabama","2026","pitching","all","Shadow Zone%","40.2%","10"
"Colin Carney","Austin Peay","2026","pitching","all","Shadow Zone%","40.1%","11"
"Trey O'Neil","Southern Indiana","2026","pitching","all","Shadow Zone%","40.1%","11"
"Samuel Jackson","New Mexico","2026","pitching","all","Shadow Zone%","39.9%","13"
"Andrew Lepine","Stetson","2026","pitching","all","Shadow Zone%","39.9%","13"
"JT Adams","Creighton","2026","pitching","all","Shadow Zone%","39.8%","15"
"Bo Rhudy","Tennessee","2026","pitching","all","Shadow Zone%","39.7%","16"
"Brayden Gilson","Florida Atlantic","2026","pitching","all","Shadow Zone%","39.6%","17"
"Tyler Kneller","Albany","2026","pitching","all","Shadow Zone%","39.5%","18"
"Collin McKinney","Arizona","2026","pitching","all","Shadow Zone%","39.4%","19"
"Logan Rushing","Memphis","2026","pitching","all","Shadow Zone%","39.4%","19"
"Dom Ruggiero","Richmond","2026","pitching","all","Shadow Zone%","39.3%","21"
"Dan Lang","Stonehill","2026","pitching","all","Shadow Zone%","39.3%","21"
"Aidan Keenan","Stanford","2026","pitching","all","Shadow Zone%","39.1%","23"
"Javyn Pimental","Missouri","2026","pitching","all","Shadow Zone%","39.1%","23"
"Jett Music","Campbell","2026","pitching","all","Shadow Zone%","39.0%","25"
"Easton Jones","Utah","2026","pitching","fastball","Shadow Zone%","50.7%","1"
"Andrew Everson","Michigan State","2026","pitching","fastball","Shadow Zone%","49.1%","2"
"Nate Berzonski","Mount St. Mary's","2026","pitching","fastball","Shadow Zone%","48.3%","3"
"Jacob Kirby","USC Upstate","2026","pitching","fastball","Shadow Zone%","48.3%","3"
"Dane Moehler","Clemson","2026","pitching","fastball","Shadow Zone%","48.3%","3"
"Nick Wesloski","Oklahoma","2026","pitching","fastball","Shadow Zone%","48.2%","6"
"Jaxon Lloyd","Longwood","2026","pitching","fastball","Shadow Zone%","47.8%","7"
"Nathan Hook","USC Upstate","2026","pitching","fastball","Shadow Zone%","47.7%","8"
"Steven Trone","The Citadel","2026","pitching","fastball","Shadow Zone%","47.2%","9"
"Brock Toney","Grand Canyon","2026","pitching","fastball","Shadow Zone%","47.1%","10"
"Kasey Gilman","Princeton","2026","pitching","fastball","Shadow Zone%","46.0%","11"
"Derek McCarley","East Tennessee State","2026","pitching","fastball","Shadow Zone%","45.7%","12"
"Dan Mateffy","Holy Cross","2026","pitching","fastball","Shadow Zone%","45.5%","13"
"Jackson Evans","Liberty","2026","pitching","fastball","Shadow Zone%","45.3%","14"
"Logan Rushing","Memphis","2026","pitching","fastball","Shadow Zone%","44.7%","15"
"Dan Lang","Stonehill","2026","pitching","fastball","Shadow Zone%","44.7%","15"
"Michael Delph","Army","2026","pitching","fastball","Shadow Zone%","44.7%","15"
"Parker Lind","Kent State","2026","pitching","fastball","Shadow Zone%","44.7%","15"
"Jack Lovin","Tarleton State","2026","pitching","fastball","Shadow Zone%","44.6%","19"
"Samuel Jackson","New Mexico","2026","pitching","fastball","Shadow Zone%","44.4%","20"
"Cal Travers","Longwood","2026","pitching","fastball","Shadow Zone%","44.4%","20"
"A.J. Hiestand","Eastern Illinois","2026","pitching","fastball","Shadow Zone%","44.4%","20"
"Dom Ruggiero","Richmond","2026","pitching","fastball","Shadow Zone%","44.1%","23"
"Zach Stichweh","Charleston Southern","2026","pitching","fastball","Shadow Zone%","44.1%","23"
"Mason Holloway","Binghamton","2026","pitching","fastball","Shadow Zone%","43.8%","25"
"Christian Mello","Albany","2026","pitching","slider","Shadow Zone%","48.1%","1"
"Michael Catalano","Oklahoma","2026","pitching","slider","Shadow Zone%","46.2%","2"
"Thomas Santana","Columbia","2026","pitching","slider","Shadow Zone%","45.8%","3"
"Mark Scamardella","NJIT","2026","pitching","slider","Shadow Zone%","45.5%","4"
"Nathan Huy","UC San Diego","2026","pitching","slider","Shadow Zone%","44.8%","5"
"Hunter Hargett","Santa Clara","2026","pitching","slider","Shadow Zone%","44.3%","6"
"Wade Cooper","Texas State","2026","pitching","slider","Shadow Zone%","44.0%","7"
"Chase Carson","Charlotte","2026","pitching","slider","Shadow Zone%","43.8%","8"
"Kike Cienfuegos","UTRGV","2026","pitching","slider","Shadow Zone%","43.4%","9"
"David Perez","West Virginia","2026","pitching","slider","Shadow Zone%","43.4%","9"
"Hadley Maxwell","Bucknell","2026","pitching","slider","Shadow Zone%","43.3%","11"
"Ty Brachbill","High Point","2026","pitching","slider","Shadow Zone%","43.2%","12"
"Seth Graham-Pippin","Utah","2026","pitching","slider","Shadow Zone%","43.1%","13"
"Brendon Bennett","Clemson","2026","pitching","slider","Shadow Zone%","43.1%","13"
"Sam Cozart","Texas","2026","pitching","slider","Shadow Zone%","42.9%","15"
"Jake Frohn","San Diego State","2026","pitching","slider","Shadow Zone%","42.9%","15"
"Taylor Penn","Arizona State","2026","pitching","slider","Shadow Zone%","42.9%","15"
"Jaxson Pease","Tennessee Tech","2026","pitching","slider","Shadow Zone%","42.7%","18"
"Eli Nissen","Creighton","2026","pitching","slider","Shadow Zone%","42.6%","19"
"Matthew VanOstenbridge","Penn State","2026","pitching","slider","Shadow Zone%","42.6%","19"
"Nate Schlote","Vanderbilt","2026","pitching","slider","Shadow Zone%","42.3%","21"
"Trent Ash","Missouri State","2026","pitching","slider","Shadow Zone%","42.2%","22"
"PJ Rogan","Sacred Heart","2026","pitching","slider","Shadow Zone%","42.2%","22"
"Cade Townsend","Ole Miss","2026","pitching","slider","Shadow Zone%","42.1%","24"
"Matthew Flores","Kansas State","2026","pitching","slider","Shadow Zone%","42.1%","24"
"Jax Lewis","Georgia Southern","2026","pitching","changeup","Shadow Zone%","51.7%","1"
"Cade Townsend","Ole Miss","2026","pitching","changeup","Shadow Zone%","47.5%","2"
"Justis Reiser","BYU","2026","pitching","changeup","Shadow Zone%","45.7%","3"
"Cade Hansen","Baylor","2026","pitching","changeup","Shadow Zone%","45.1%","4"
"Colin Carney","Austin Peay","2026","pitching","changeup","Shadow Zone%","44.0%","5"
"Josh Holst","Air Force","2026","pitching","changeup","Shadow Zone%","43.7%","6"
"Jeremiah Arnett","Rice","2026","pitching","changeup","Shadow Zone%","43.5%","7"
"Cooper Consiglio","NC State","2026","pitching","changeup","Shadow Zone%","42.9%","8"
"Ty Uber","Notre Dame","2026","pitching","changeup","Shadow Zone%","42.9%","8"
"Henry Zatkowski","Virginia","2026","pitching","changeup","Shadow Zone%","42.4%","10"
"JT Blackwood","Alabama","2026","pitching","changeup","Shadow Zone%","42.3%","11"
"Ryan Towers","East Carolina","2026","pitching","changeup","Shadow Zone%","42.3%","11"
"Chase Horst","Jacksonville State","2026","pitching","changeup","Shadow Zone%","42.1%","13"
"Gus McKay","Incarnate Word","2026","pitching","changeup","Shadow Zone%","41.9%","14"
"Brandon Stone","South Carolina","2026","pitching","changeup","Shadow Zone%","41.7%","15"
"Caden Aoki","Georgia","2026","pitching","changeup","Shadow Zone%","41.7%","15"
"Sean Carey","Sacramento State","2026","pitching","changeup","Shadow Zone%","41.5%","17"
"Drew Turner","UNC Asheville","2026","pitching","changeup","Shadow Zone%","41.4%","18"
"Jacob Hageman","Canisius","2026","pitching","changeup","Shadow Zone%","41.2%","19"
"Jake Hembree","Georgia State","2026","pitching","changeup","Shadow Zone%","41.2%","19"
"Logan Reddemann","UCLA","2026","pitching","changeup","Shadow Zone%","41.1%","21"
"Hayden Collins","Eastern Kentucky","2026","pitching","changeup","Shadow Zone%","40.5%","22"
"Hayden Stallings","Lamar","2026","pitching","changeup","Shadow Zone%","40.4%","23"
"Jasper Nadel","George Washington","2026","pitching","changeup","Shadow Zone%","40.3%","24"
"Noah Chapman","UNC Greensboro","2026","pitching","changeup","Shadow Zone%","40.2%","25"
"Parker Warner","Stanford","2026","pitching","curveball","Shadow Zone%","44.7%","1"
"Dalton Robinson","Florida Atlantic","2026","pitching","curveball","Shadow Zone%","44.6%","2"
"Connor Mondey","Sam Houston State","2026","pitching","curveball","Shadow Zone%","43.6%","3"
"Jake Thomas","Butler","2026","pitching","curveball","Shadow Zone%","43.1%","4"
"Collin McKinney","Arizona","2026","pitching","curveball","Shadow Zone%","42.9%","5"
"Alex Alberico","Kent State","2026","pitching","curveball","Shadow Zone%","40.6%","6"
"Richie Roman","Houston","2026","pitching","curveball","Shadow Zone%","40.2%","7"
"Davis Wright","Western Carolina","2026","pitching","curveball","Shadow Zone%","40.2%","7"
"Tristan McGregor","Presbyterian","2026","pitching","curveball","Shadow Zone%","39.4%","9"
"EJ Miramontes","Northern Kentucky","2026","pitching","curveball","Shadow Zone%","39.2%","10"
"Logan Reddemann","UCLA","2026","pitching","curveball","Shadow Zone%","39.0%","11"
"Paul Coppinger","McNeese","2026","pitching","curveball","Shadow Zone%","39.0%","11"
"Ethan Calder","Baylor","2026","pitching","curveball","Shadow Zone%","39.0%","11"
"Patrick Bauer","James Madison","2026","pitching","curveball","Shadow Zone%","38.9%","14"
"AJ Rasmussen","St. Thomas (MN)","2026","pitching","curveball","Shadow Zone%","38.5%","15"
"Ty Horn","Nebraska","2026","pitching","curveball","Shadow Zone%","38.5%","15"
"Sean Hard","Boston College","2026","pitching","curveball","Shadow Zone%","38.3%","17"
"Chris Scinta","Houston","2026","pitching","curveball","Shadow Zone%","38.3%","17"
"Drew Harris","George Washington","2026","pitching","curveball","Shadow Zone%","38.3%","17"
"Collin Valentine","Pepperdine","2026","pitching","curveball","Shadow Zone%","38.3%","17"
"Jon Whiteside","Dayton","2026","pitching","curveball","Shadow Zone%","38.2%","21"
"Spencer Johnsen","Indiana State","2026","pitching","curveball","Shadow Zone%","38.2%","21"
"Duke Stone","Mississippi State","2026","pitching","curveball","Shadow Zone%","38.1%","23"
"Carson Johnson","San Diego State","2026","pitching","curveball","Shadow Zone%","38.1%","23"
"Jagger Edwards","San Diego","2026","pitching","curveball","Shadow Zone%","38.0%","25"
"Cole Schiff","Bryant","2026","pitching","cutter","Shadow Zone%","54.0%","1"
"Nathan Leininger","Toledo","2026","pitching","cutter","Shadow Zone%","49.0%","2"
"Jack Bennett","Kentucky","2026","pitching","cutter","Shadow Zone%","48.3%","3"
"Cooper Gilkerson","Wright State","2026","pitching","cutter","Shadow Zone%","48.0%","4"
"John Lobs","Western Carolina","2026","pitching","cutter","Shadow Zone%","46.5%","5"
"Alex Petrovic","Auburn","2026","pitching","cutter","Shadow Zone%","45.5%","6"
"Brendan Garza","Ball State","2026","pitching","cutter","Shadow Zone%","44.7%","7"
"Nate Schlote","Vanderbilt","2026","pitching","cutter","Shadow Zone%","44.4%","8"
"Tate Hickman","Sam Houston State","2026","pitching","cutter","Shadow Zone%","44.4%","8"
"Jacob Kirby","USC Upstate","2026","pitching","cutter","Shadow Zone%","44.4%","8"
"Jacob Sjuts","South Dakota State","2026","pitching","cutter","Shadow Zone%","44.4%","8"
"Brannon Westmoreland","Little Rock","2026","pitching","cutter","Shadow Zone%","44.3%","12"
"Carter White","Eastern Michigan","2026","pitching","cutter","Shadow Zone%","44.2%","13"
"Jett Johnston","Auburn","2026","pitching","cutter","Shadow Zone%","43.9%","14"
"Lance Williams","Maryland","2026","pitching","cutter","Shadow Zone%","43.5%","15"
"Jaron Bleeker","Iowa","2026","pitching","cutter","Shadow Zone%","43.4%","16"
"Braden Smith","UCF","2026","pitching","cutter","Shadow Zone%","43.0%","17"
"Nick Baffa","Valparaiso","2026","pitching","cutter","Shadow Zone%","43.0%","17"
"Dylan Henshaw","Stony Brook","2026","pitching","cutter","Shadow Zone%","42.6%","19"
"Kaden Hilburger","Bryant","2026","pitching","cutter","Shadow Zone%","42.6%","19"
"Cole Tryba","UC Santa Barbara","2026","pitching","cutter","Shadow Zone%","42.6%","19"
"Gabriel Hernandez","Cal State Northridge","2026","pitching","cutter","Shadow Zone%","42.5%","22"
"Cam Allen","Wright State","2026","pitching","cutter","Shadow Zone%","42.1%","23"
"Cord Rager","Oklahoma","2026","pitching","cutter","Shadow Zone%","42.0%","24"
"Jackson Flora","UC Santa Barbara","2026","pitching","cutter","Shadow Zone%","42.0%","24"
