Player,Team,Position,oRAR,oWAR,DRS,dWAR,pRAR,pWAR,WAR
"Slade McCloud","Tarleton State","2B","22.52","1.66","5.67","0.42","0.00","0.00","2.08"
"Titan Kamaka","Mercer","SS","26.66","1.96","1.64","0.12","0.00","0.00","2.08"
"Tyce Peterson","San Diego State","3B","25.39","1.87","2.81","0.21","0.00","0.00","2.08"
"Kollin Ritchie","Oklahoma State","CF","29.99","2.21","-1.74","-0.13","0.00","0.00","2.08"
"Brayden Martin","Maryland","RF","26.63","1.96","1.65","0.12","0.00","0.00","2.08"
"Xavier Melendez","UT Arlington","2B","21.13","1.56","7.18","0.53","0.00","0.00","2.08"
"Logan Tribble","Wofford","DH","25.68","1.89","2.42","0.18","0.00","0.00","2.07"
"Will Baker","Georgia Tech","DH","29.15","2.15","-1.06","-0.08","0.00","0.00","2.07"
"Mike Mancini","Vanderbilt","LF","28.46","2.10","-0.49","-0.04","0.00","0.00","2.06"
"Nick Wang","Boston College","1B","26.86","1.98","1.17","0.09","0.00","0.00","2.06"
"Ben Blair","Liberty","P","0.00","0.00","0.93","0.07","26.90","1.98","2.05"
"Dominic Decker","Ole Miss","2B","20.73","1.53","7.09","0.52","0.00","0.00","2.05"
"Carter Bergman","Missouri State","C","19.51","1.44","8.37","0.62","0.00","0.00","2.05"
"Luke Nixon","NC State","2B","22.19","1.63","5.49","0.40","0.00","0.00","2.04"
"Steven Smith","Appalachian State","SS","21.80","1.61","3.26","0.24","2.70","0.20","2.04"
"Grayson Ashe","Jacksonville State","C","17.29","1.27","10.21","0.75","0.00","0.00","2.03"
"Jason Wachs","Tulane","RF","24.54","1.81","2.96","0.22","0.00","0.00","2.03"
"Casey Wensley","Bryant","1B","23.26","1.71","4.28","0.32","0.00","0.00","2.03"
"Derek Curiel","LSU","CF","22.96","1.69","4.63","0.34","0.00","0.00","2.03"
"Gavin Gallaher","North Carolina","2B","17.24","1.27","10.29","0.76","0.00","0.00","2.03"
"Matthew Farner","North Florida","SS","23.66","1.74","3.72","0.27","0.00","0.00","2.02"
"Jack Cannon","Le Moyne","RF","22.21","1.64","5.10","0.38","0.00","0.00","2.01"
"Owen Clyne","George Mason","SS","22.21","1.64","5.13","0.38","0.00","0.00","2.01"
"Cayden Suchy","Connecticut","P","0.00","0.00","0.43","0.03","26.70","1.97","2.00"
"Johnathan Gomez","Fairleigh Dickinson","SS","24.72","1.82","2.42","0.18","0.00","0.00","2.00"
"Ethan Hindle","Kentucky","2B","22.71","1.67","4.43","0.33","0.00","0.00","2.00"
"Matthew Rhoades","Butler","1B","25.20","1.86","1.96","0.14","0.00","0.00","2.00"
"Davis Hamilton","Minnesota","3B","20.14","1.48","6.93","0.51","0.00","0.00","1.99"
"Maverick Stallings","Old Dominion","2B","18.90","1.39","8.17","0.60","0.00","0.00","1.99"
"Jack Toomey","Boston College","RF","28.72","2.11","-1.69","-0.12","0.00","0.00","1.99"
"Jake Hanley","Indiana","1B","24.66","1.82","2.33","0.17","0.00","0.00","1.99"
"Luke Lawrence","Kentucky","SS","22.09","1.63","4.89","0.36","0.00","0.00","1.99"
"Nate Savoie","Clemson","C","24.46","1.80","2.52","0.19","0.00","0.00","1.99"
"Braydon Kersey","Mercer","DH","21.01","1.55","0.00","0.00","6.00","0.44","1.99"
"Jack Herring","East Carolina","RF","26.64","1.96","0.42","0.03","0.00","0.00","1.99"
"Tryston McCladdie","Clemson","CF","22.39","1.65","4.64","0.34","0.00","0.00","1.99"
"Steve Solorzano","New Mexico State","1B","22.58","1.66","4.34","0.32","0.00","0.00","1.98"
"Teddy Tokheim","Stanford","LF","26.95","1.98","0.00","0.00","0.00","0.00","1.98"
"Jax Gimenez","Oregon","LF","23.69","1.74","3.24","0.24","0.00","0.00","1.98"
"Willie Ponce","High Point","SS","21.10","1.55","5.82","0.43","0.00","0.00","1.98"
"Tanner Mally","Western Michigan","CF","28.10","2.07","-1.26","-0.09","0.00","0.00","1.98"
"Diego Cardenas","Abilene Christian","DH","26.76","1.97","0.00","0.00","0.00","0.00","1.97"
"Andrew Williamson","UCF","RF","24.66","1.82","2.08","0.15","0.00","0.00","1.97"
"Michael Elko","Richmond","2B","22.79","1.68","3.85","0.28","0.00","0.00","1.96"
"Rett Johnson","NC State","LF","26.13","1.92","0.55","0.04","0.00","0.00","1.96"
"Tony Lira","Arizona","1B","21.72","1.60","4.83","0.36","0.00","0.00","1.96"
"Nu’u Contrades","Arizona State","2B","23.06","1.70","3.46","0.25","0.00","0.00","1.95"
"Kade Lewis","Wake Forest","1B","21.72","1.60","4.74","0.35","0.00","0.00","1.95"
"Michael Petite","VCU","CF","22.57","1.66","3.95","0.29","0.00","0.00","1.95"
"Caylon Dygert","UT Arlington","1B","3.86","0.28","2.32","0.17","20.30","1.49","1.95"
"Ezra McNaughton","BYU","1B","28.47","2.10","-1.94","-0.14","0.00","0.00","1.95"
"Connor Cuff","Southeastern Louisiana","SS","18.47","1.36","8.04","0.59","0.00","0.00","1.95"
"Ryan Kroepel","Utah Tech","3B","15.27","1.12","1.86","0.14","9.30","0.68","1.95"
"Sam Flores","Purdue","3B","24.47","1.80","1.84","0.14","0.00","0.00","1.94"
