64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2597","2026","Keagen Jirschele","South Dakota St.","SS","So","23","0.253","0.367","0.347","14","75","19","4","0","26","1","9","9","5","1","1","21","1","0","3","0","91"
"2598","2026","Easton Amundson","Akron","1B","Sr","22","0.194","0.366","0.472","14","72","14","3","1","34","5","18","15","5","1","0","28","0","0","3","0","93"
"2599","2026","Peyton Vancas","Quinnipiac","3B","Fr","22","0.258","0.388","0.364","12","66","17","2","1","24","1","18","13","3","3","3","13","2","0","4","0","88"
"2600","2026","Cooper Romich","Le Moyne","C","Jr","24","0.247","0.343","0.318","16","85","21","3","0","27","1","19","9","5","3","3","18","0","1","2","0","105"
"2601","2026","Garrett Gruell","UTSA","DH","Sr","15","0.286","0.348","0.429","9","42","12","2","2","18","0","6","1","3","0","0","7","0","0","0","0","46"
"2602","2026","Tucker Moore","Liberty","C","Jr","22","0.206","0.378","0.500","8","34","7","1","0","17","3","8","7","3","1","1","9","1","0","3","0","46"
"2603","2026","AJ Marchetti","Tennessee Tech","C","Jr","17","0.308","0.438","0.423","2","26","8","0","0","11","1","3","2","4","0","0","6","0","0","1","0","32"
"2604","2026","Corey Nunez","UC Santa Barbara","3B","Sr","22","0.300","0.364","0.380","10","50","15","2","1","19","0","2","3","2","0","0","9","0","0","4","0","55"
"2605","2026","Alex Bouche","East Carolina","DH","Sr","16","0.290","0.324","0.452","8","31","9","2","0","14","1","7","2","0","1","0","12","1","0","0","0","34"
"2606","2026","Logan Koslin","Mercyhurst","3B","Fr","25","0.214","0.415","0.286","17","70","15","2","0","20","1","9","10","14","0","0","6","2","0","3","0","94"
"2607","2026","Nate Stiveson","LMU (CA)","3B","So","17","0.148","0.172","0.333","4","27","4","2","0","9","1","6","1","0","1","0","12","0","0","0","0","29"
"2608","2026","Chris Patterson","Missouri","3B","So","17","0.226","0.373","0.396","17","53","12","1","1","21","2","11","10","3","1","0","16","0","0","3","0","67"
"2609","2026","Efren Ortega","UC Irvine","C","So","23","0.269","0.359","0.299","11","67","18","2","0","20","0","8","5","5","1","1","16","0","0","0","0","79"
"2610","2026","Jayden Alvarez","Wagner","3B","So","24","0.266","0.390","0.328","5","64","17","4","0","21","0","16","7","6","0","2","14","1","0","3","0","79"
"2611","2026","Justin Hackett","Bryant","SS","Sr","27","0.227","0.324","0.364","12","88","20","6","0","32","2","11","12","1","1","2","33","1","0","10","0","104"
"2612","2026","Tyler Parks","UNC Asheville","3B","Jr","15","0.318","0.423","0.432","7","44","14","2","0","19","1","10","7","1","0","0","6","1","0","1","0","52"
"2613","2026","Hudson Story","Bryant","1B","Jr","17","0.224","0.356","0.388","10","49","11","2","0","19","2","6","9","1","0","0","21","0","0","1","0","59"
"2614","2026","Clay Badylak","Middle Tenn.","SS","Sr","31","0.176","0.309","0.209","21","91","16","3","0","19","0","10","16","2","1","4","9","1","0","4","0","114"
"2615","2026","Ty Galusky","ETSU","C","Jr","15","0.289","0.471","0.368","8","38","11","3","0","14","0","8","7","6","0","1","9","1","1","1","0","52"
"2616","2026","Noah Blythe","Nevada","DH","So","18","0.265","0.357","0.531","14","49","13","4","0","26","3","6","7","0","0","0","10","0","0","2","0","56"
"2617","2026","Anthony Hausner","Gardner-Webb","1B","Jr","25","0.213","0.326","0.253","9","75","16","3","0","19","0","7","11","2","1","0","15","0","0","0","0","89"
"2618","2026","Houston Hebert","Austin Peay","DH","Fr","10","0.320","0.433","0.520","4","25","8","2","0","13","1","5","4","1","0","0","10","0","0","0","0","30"
"2619","2026","Chris Marcellus","Grambling","C","Sr","26","0.250","0.380","0.386","17","88","22","3","0","34","3","17","18","1","1","0","16","0","0","1","0","108"
"2620","2026","Jackson Reid","Eastern Ky.","LF","Jr","15","0.262","0.377","0.357","4","42","11","1","0","15","1","8","4","5","2","0","13","0","2","3","0","53"
"2621","2026","Aiden Heberlie","Dayton","LF","Sr","22","0.281","0.400","0.406","11","32","9","1","0","13","1","3","4","3","1","0","11","3","0","8","0","40"
"2622","2026","Tanner Johns","Grand Canyon","LF","Fr","18","0.245","0.305","0.340","7","53","13","2","0","18","1","10","4","1","1","0","19","1","0","0","0","59"
"2623","2026","Wes Baker","Sam Houston","C","Fr","24","0.182","0.371","0.258","9","66","12","2","0","17","1","13","20","1","2","1","19","1","0","1","0","90"
"2624","2026","Cam Bryant","Ohio","SS","Jr","29","0.219","0.346","0.324","12","105","23","6","1","34","1","15","18","3","1","0","24","2","1","5","0","127"
"2625","2026","Damian Rodriguez","Iona","CF","Sr","22","0.294","0.398","0.400","18","85","25","6","0","34","1","11","12","4","2","0","19","0","2","12","0","103"
"2626","2026","Rob Liddington Jr.","TCU","1B","Sr","23","0.217","0.326","0.333","14","69","15","2","0","23","2","13","12","1","4","0","23","0","1","4","0","86"
"2627","2026","Ross Highfill","Purdue","C","Sr","15","0.167","0.375","0.375","10","24","4","0","1","9","1","3","4","4","0","0","10","0","0","0","0","32"
"2628","2026","Bobby Herzman","New Haven","1B","Fr","9","0.292","0.346","0.500","3","24","7","2","0","12","1","7","2","0","0","0","4","1","0","0","0","26"
"2629","2026","Jacob Beauchaine","Seattle U","CF","Jr","25","0.227","0.306","0.309","15","97","22","2","0","30","2","11","8","3","0","0","28","3","0","2","0","108"
"2630","2026","Ayden Crouse","Indiana","CF","Jr","23","0.242","0.311","0.242","10","66","16","0","0","16","0","4","5","2","1","1","17","2","0","9","0","75"
"2631","2026","MJ Sweeney","Wichita St.","1B","Jr","18","0.263","0.451","0.447","8","38","10","2","1","17","1","7","6","7","0","0","12","0","0","0","0","51"
"2632","2026","Joshua McClintock","Western Ill.","SS","Jr","26","0.200","0.294","0.300","17","90","18","3","0","27","2","10","8","4","0","1","29","1","1","2","0","103"
"2633","2026","Gavin Smith","Harvard","LF","So","18","0.203","0.266","0.322","6","59","12","1","0","19","2","6","5","0","0","0","13","0","0","0","0","64"
"2634","2026","Keegan Knupp","Eastern Mich.","3B","Fr","26","0.207","0.311","0.283","13","92","19","1","0","26","2","9","12","2","0","3","16","1","0","5","0","109"
"2635","2026","Jon Whitworth","Belmont","LF","Fr","31","0.179","0.323","0.256","14","78","14","1","1","20","1","6","13","4","1","1","20","3","0","3","0","97"
"2636","2026","John Youens","Baylor","DH","So","19","0.250","0.467","0.406","7","32","8","2","0","13","1","6","10","3","0","0","14","0","0","0","0","45"
"2637","2026","Nick Vega","NJIT","RF","Sr","14","0.229","0.372","0.400","10","35","8","1","1","14","1","5","7","1","0","1","11","0","0","0","0","44"
"2638","2026","Gavin Bogdanchik","Elon","C","Sr","20","0.254","0.338","0.288","3","59","15","2","0","17","0","7","6","2","1","0","11","1","0","1","0","68"
"2639","2026","Jeff Sabater","East Carolina","LF","Sr","16","0.400","0.500","0.467","12","30","12","2","0","14","0","7","2","4","0","2","5","3","0","1","0","38"
"2640","2026","Blaine French","Pacific","LF","Sr","27","0.260","0.329","0.312","10","77","20","4","0","24","0","10","4","4","0","3","19","0","0","3","1","88"
"2641","2026","Colin Brown","Holy Cross","C","Jr","13","0.238","0.340","0.381","8","42","10","3","0","16","1","6","4","3","1","0","6","0","0","0","0","50"
"2642","2026","Jack Warner","Penn","LF","Fr","16","0.250","0.340","0.386","4","44","11","3","0","17","1","9","5","2","2","0","10","0","0","3","0","53"
"2643","2026","Keaton Campbell","Oral Roberts","3B","Sr","19","0.224","0.303","0.310","4","58","13","2","0","18","1","7","7","0","1","1","18","0","0","1","0","67"
"2644","2026","Cameron Macleod","Washington St.","C","Jr","13","0.118","0.231","0.353","4","34","4","2","0","12","2","3","3","2","0","1","15","1","0","1","0","40"
"2645","2026","Jared Lewis","San Francisco","2B","Jr","20","0.222","0.338","0.296","6","54","12","1","0","16","1","11","9","1","1","3","20","0","0","0","0","68"
"2646","2026","Max Towchik","A&M-Corpus Christi","3B","Jr","23","0.213","0.310","0.328","9","61","13","1","0","20","2","12","5","4","1","2","17","0","1","0","0","73"
"2647","2026","Nolan Barry","Illinois St.","C","Sr","22","0.234","0.268","0.273","10","77","18","0","0","21","1","12","3","1","1","1","11","0","0","3","0","83"
"2648","2026","Zac Butler","Wright St.","C","Sr","21","0.263","0.425","0.368","11","57","15","3","0","21","1","8","12","4","0","1","13","1","0","0","0","74"
"2649","2026","Easton Winfield","Houston","DH","Jr","16","0.222","0.349","0.417","9","36","8","1","0","15","2","4","7","0","0","0","14","2","0","1","0","43"
"2650","2026","Kevin Duran","Lamar","3B","Sr","30","0.291","0.381","0.427","16","103","30","5","0","44","3","17","10","5","0","4","21","2","0","3","0","122"
"2651","2026","Jared Stevenson","Seattle U","RF","Sr","26","0.191","0.301","0.258","10","89","17","3","0","23","1","9","12","2","0","2","38","1","2","3","0","105"
"2652","2026","Vance Bonior","Massachusetts","RF","So","21","0.218","0.403","0.327","9","55","12","3","0","18","1","8","7","10","0","0","9","1","0","2","0","72"
"2653","2026","Chris Cancel","UConn","C","So","10","0.240","0.375","0.400","4","25","6","4","0","10","0","3","5","1","1","0","4","1","0","0","0","32"
"2654","2026","Zach White","Northwestern St.","2B","Fr","24","0.232","0.337","0.304","11","69","16","2","0","21","1","10","9","3","2","2","23","0","0","2","0","85"
"2655","2026","Kenan Harvey","Coppin St.","DH","Jr","18","0.286","0.397","0.411","7","56","16","4","0","23","1","13","9","2","1","0","9","0","0","0","0","68"
"2656","2026","Keenan Anzai","UC Davis","P","So","20","0.273","0.351","0.485","4","33","9","4","0","16","1","7","2","2","0","2","6","0","0","0","0","39"
"2657","2026","Garrett Cutting","Youngstown St.","SS","Sr","17","0.216","0.268","0.314","2","51","11","5","0","16","0","5","2","2","1","0","9","1","1","1","0","56"
"2658","2026","David Dubrule","Army West Point","3B","Fr","27","0.250","0.310","0.283","11","92","23","3","0","26","0","10","5","3","0","3","14","0","0","5","0","103"
"2659","2026","Hunter Meyer","Cal St. Fullerton","CF","Fr","21","0.271","0.292","0.314","7","70","19","3","0","22","0","4","2","0","0","4","14","0","0","2","0","76"
"2660","2026","Cale Steinbaugh","Ohio","3B","Sr","13","0.400","0.500","0.600","5","20","8","1","0","12","1","5","3","1","0","0","3","1","0","2","0","24"
"2661","2026","Kolt Myers","Florida","3B","Fr","23","0.246","0.303","0.328","9","61","15","3","1","20","0","2","4","1","0","1","25","0","0","6","0","67"
"2662","2026","Joe Frazzetta","New Haven","3B","Jr","21","0.284","0.342","0.343","7","67","19","1","0","23","1","12","4","2","0","0","11","1","0","5","1","73"
"2663","2026","Tristan Russell","New Mexico","3B","So","18","0.270","0.372","0.432","12","37","10","3","0","16","1","7","4","2","0","0","16","0","0","1","0","43"
"2664","2026","Edoardo Cornelli","Omaha","2B","Fr","20","0.219","0.337","0.342","11","73","16","4","1","25","1","11","12","1","0","1","14","0","0","3","0","87"
"2665","2026","Nate Lopez","Texas Southern","2B","Sr","25","0.300","0.417","0.400","21","90","27","7","1","36","0","15","8","10","0","2","15","1","0","4","0","110"
"2666","2026","Cash Jay","Old Dominion","3B","Sr","25","0.197","0.306","0.282","14","71","14","6","0","20","0","9","6","6","2","1","28","0","0","4","0","86"
"2667","2026","Landon Springmeyer","Northern Ky.","C","Jr","22","0.231","0.354","0.415","16","65","15","6","0","27","2","16","11","3","3","1","30","0","1","0","0","83"
"2668","2026","Jabril Bullock","Delaware St.","2B","Sr","25","0.213","0.292","0.388","8","80","17","6","1","31","2","20","9","2","5","3","20","1","0","1","0","99"
"2669","2026","Landon Underhill","DBU","CF","Sr","19","0.238","0.396","0.310","12","42","10","1","1","13","0","4","9","2","0","1","11","1","0","1","0","54"
"2670","2026","Sam Pease","Northern Colo.","C","Jr","23","0.279","0.371","0.377","13","61","17","1","1","23","1","9","3","6","0","1","17","0","0","2","0","71"
"2671","2026","Payton Boines","Jackson St.","2B","Jr","26","0.300","0.398","0.444","22","90","27","7","0","40","2","16","12","4","2","1","18","1","0","3","0","109"
"2672","2026","Will Newton","Stonehill","LF","So","12","0.282","0.429","0.513","12","39","11","4","1","20","1","5","8","2","0","1","9","0","0","0","0","50"
"2673","2026","Xavier Moronta","Fla. Atlantic","DH","Sr","19","0.275","0.356","0.300","5","40","11","1","0","12","0","3","5","0","0","0","10","0","0","0","0","45"
"2674","2026","Ollie Obenour","Washington St.","3B","So","16","0.273","0.382","0.382","11","55","15","4","1","21","0","8","10","1","2","0","19","0","0","0","0","68"
"2675","2026","Jack Holubowski","Bradley","DH","Jr","26","0.159","0.239","0.254","8","63","10","3","0","16","1","9","6","1","1","1","29","0","0","2","0","72"
"2676","2026","Santiago Ordonez","North Florida","C","Sr","25","0.239","0.409","0.310","12","71","17","5","0","22","0","8","17","4","1","0","14","0","1","0","0","93"
"2677","2026","Richie Klosek","LMU (CA)","LF","Fr","17","0.256","0.365","0.512","5","43","11","0","1","22","3","14","8","0","1","0","19","0","0","0","0","52"
"2678","2026","Nick Biddle","Hofstra","C","So","17","0.216","0.300","0.294","8","51","11","4","0","15","0","5","3","4","2","6","7","0","0","0","0","66"
"2679","2026","Joshua Wulfert","Wichita St.","RF","So","19","0.296","0.377","0.352","12","54","16","3","0","19","0","7","7","0","0","0","9","1","0","1","0","61"
"2680","2026","Fredy Diaz","Davidson","SS","So","23","0.239","0.346","0.328","9","67","16","6","0","22","0","9","3","8","0","4","23","1","0","4","0","82"
"2681","2026","Nolan Stoll","Stanford","C","Fr","12","0.313","0.389","0.563","4","16","5","4","0","9","0","2","1","1","0","0","2","0","0","0","0","18"
"2682","2026","Yariel Rodriguez","Towson","SS","Jr","19","0.250","0.390","0.313","15","48","12","3","0","15","0","8","7","4","0","3","14","0","0","3","0","62"
"2683","2026","Nelson Grajales","Coppin St.","C","Jr","25","0.289","0.388","0.386","16","83","24","5","0","32","1","13","11","3","1","0","11","0","1","0","0","98"
"2684","2026","Ernie Little","Fordham","LF","Sr","25","0.260","0.379","0.260","16","73","19","0","0","19","0","6","7","7","0","4","20","4","0","12","0","91"
"2685","2026","Sam Richardson","Jacksonville St.","1B","Fr","18","0.195","0.313","0.512","6","41","8","1","0","21","4","12","5","2","0","0","14","0","0","2","0","48"
"2686","2026","Tyler Garritano","UIW","DH","Jr","15","0.311","0.392","0.422","8","45","14","2","0","19","1","4","4","2","0","0","9","0","0","0","0","51"
"2687","2026","Carson Luna","Michigan","2B","Fr","19","0.250","0.323","0.286","7","56","14","2","0","16","0","3","3","3","0","0","12","0","0","0","0","62"
"2688","2026","Logan de Groot","Northwestern","LF","So","18","0.286","0.426","0.327","6","49","14","2","0","16","0","8","9","3","0","0","15","0","0","2","0","61"
"2689","2026","Nick Hockemeyer","Ark.-Pine Bluff","DH","Jr","23","0.300","0.397","0.400","16","50","15","2","0","20","1","8","7","1","0","1","10","2","1","3","0","59"
"2690","2026","Brandon O'Neill","Central Conn. St.","3B","So","19","0.233","0.309","0.301","9","73","17","2","0","22","1","9","8","0","0","0","25","0","0","2","0","81"
"2691","2026","Jason Fultz Jr.","Clemson","3B","Fr","20","0.261","0.452","0.348","9","46","12","2","1","16","0","3","10","6","0","0","8","0","0","1","0","62"
"2692","2026","Jacoby Radcliffe","Southern U.","CF","Sr","25","0.260","0.420","0.455","25","77","20","5","2","35","2","15","19","3","1","5","23","2","1","17","0","105"
"2693","2026","Kade Seldomridge","Central Ark.","DH","Sr","12","0.270","0.289","0.351","6","37","10","1","1","13","0","3","1","0","0","0","10","0","0","2","0","38"
"2694","2026","Jackson Thomas","Georgetown","CF","So","17","0.182","0.250","0.515","6","33","6","0","1","17","3","10","3","0","0","1","13","0","0","3","0","37"
"2695","2026","Shane Hofstadler","Northwestern","C","Sr","9","0.267","0.353","0.667","1","15","4","3","0","10","1","5","2","0","0","1","2","0","0","0","0","18"
"2696","2026","Sam Hardcastle","Abilene Christian","3B","Sr","19","0.231","0.298","0.365","8","52","12","1","0","19","2","6","0","5","0","0","21","0","0","0","0","57"
"2697","2026","Johnny Sutryk","Charlotte","LF","Jr","21","0.237","0.310","0.421","9","38","9","1","0","16","2","7","3","1","0","2","14","0","0","4","0","44"
"2698","2026","Wailele Kane-Yates","Oral Roberts","C","Sr","21","0.273","0.352","0.416","14","77","21","3","1","32","2","13","2","8","1","0","13","0","0","0","0","88"
