64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2699","2026","Joey Little","ETSU","LF","Sr","15","0.176","0.333","0.412","5","17","3","1","0","7","1","1","3","1","0","0","4","0","0","1","0","21"
"2700","2026","Dayton Franke","South Dakota St.","1B","So","26","0.239","0.355","0.398","16","88","21","5","0","35","3","21","6","11","2","1","24","0","0","0","0","108"
"2701","2026","NIguel Jenkins","Alabama St.","CF","Jr","18","0.295","0.436","0.568","14","44","13","3","0","25","3","9","8","3","0","0","18","2","0","3","0","55"
"2702","2026","Landon Weidner","West Ga.","RF","Sr","18","0.250","0.308","0.333","6","36","9","0","0","12","1","5","3","0","0","0","9","1","0","0","0","39"
"2703","2026","AJ Kolb","Towson","2B","So","19","0.317","0.412","0.390","8","41","13","0","0","16","1","11","4","4","2","2","4","1","0","4","0","53"
"2704","2026","Dylan Grabowski","Liberty","2B","Jr","18","0.241","0.397","0.362","11","58","14","3","2","21","0","8","9","6","0","0","14","0","0","4","0","73"
"2705","2026","Pearson Riebock","Baylor","2B","So","27","0.198","0.351","0.220","22","91","18","0","1","20","0","7","15","7","1","3","33","0","0","8","0","117"
"2706","2026","Maddox Mandino","Louisiana","LF","Jr","26","0.222","0.325","0.292","9","72","16","5","0","21","0","12","9","2","0","4","17","3","0","6","0","87"
"2707","2026","Dane Morrow","Michigan","LF","Fr","19","0.208","0.296","0.458","7","24","5","0","0","11","2","2","3","0","0","0","11","0","0","1","0","27"
"2708","2026","Jason Walk","Oklahoma","CF","Jr","28","0.230","0.337","0.264","18","87","20","3","0","23","0","5","11","3","0","2","28","3","0","11","0","103"
"2709","2026","Ben Barrow","James Madison","C","Jr","22","0.263","0.333","0.368","8","38","10","2","1","14","0","5","2","2","0","3","10","0","0","1","0","45"
"2710","2026","Cole Warehime","Illinois","RF","Sr","20","0.180","0.226","0.340","4","50","9","2","0","17","2","6","2","1","0","1","15","0","0","1","0","54"
"2711","2026","Treyson Hughes","Virginia Tech","CF","Sr","27","0.175","0.343","0.263","14","80","14","4","0","21","1","7","17","4","1","1","22","3","0","5","1","103"
"2712","2026","Will Smoot","UIC","DH","Sr","15","0.316","0.418","0.386","8","57","18","1","0","22","1","10","7","3","0","0","14","0","0","0","0","67"
"2713","2026","Cullen Box","UT Martin","C","Jr","16","0.220","0.389","0.439","9","41","9","1","1","18","2","6","8","4","1","1","9","0","0","1","0","55"
"2714","2026","Brett White","Iowa","RF","So","15","0.348","0.464","0.739","7","23","8","3","0","17","2","9","4","1","0","0","11","1","0","1","0","28"
