Team Rk,Year,School,Conference,P-OPS,WHIP,FIP,OPS,wOBA,R/PA,RC/AB,RA/AB,wRC35,wRA35,wRE35,Rk - wRE35
"36","2026","UC Santa Barbara","Big West","0.631","1.17","3.36","0.765","0.346","0.14","0.14","0.10","3.56","5.98","9.54","0.831"
"37","2026","Arkansas","SEC","0.697","1.27","3.98","0.841","0.370","0.17","0.18","0.12","5.37","5.40","10.78","0.892"
"38","2026","Nebraska","Big Ten","0.665","1.31","3.80","0.889","0.392","0.18","0.19","0.11","5.57","6.26","11.83","0.922"
"39","2026","California Baptist","WAC","0.653","1.22","3.35","0.899","0.394","0.18","0.20","0.10","5.11","6.19","11.30","0.909"
"40","2026","Pittsburgh","ACC","0.783","1.49","4.98","1.050","0.456","0.23","0.26","0.15","7.35","4.66","12.01","0.938"
"41","2026","Notre Dame","ACC","0.788","1.54","4.19","0.906","0.397","0.19","0.20","0.15","6.27","5.87","12.14","0.941"
"42","2026","Campbell","CAA","0.723","1.34","4.24","0.870","0.384","0.19","0.18","0.12","5.01","4.32","9.33","0.814"
"43","2026","Miami (OH)","MAC","0.819","1.53","4.48","0.973","0.428","0.22","0.23","0.16","4.90","0.61","5.51","0.443"
"44","2026","Liberty","CUSA","0.668","1.26","3.50","0.791","0.356","0.17","0.15","0.11","3.80","5.94","9.74","0.847"
"45","2026","South Fla.","AAC","0.650","1.18","4.00","0.817","0.362","0.18","0.16","0.10","4.19","5.18","9.37","0.821"
"46","2026","Arkansas St.","Sun Belt","0.699","1.25","4.25","0.837","0.369","0.17","0.17","0.12","4.54","3.85","8.38","0.733"
"47","2026","Vanderbilt","SEC","0.778","1.50","4.99","0.972","0.419","0.20","0.23","0.14","5.94","6.36","12.29","0.954"
"48","2026","Kansas","Big 12","0.820","1.54","4.67","0.901","0.395","0.19","0.20","0.16","5.42","3.80","9.22","0.805"
"49","2026","Boston College","ACC","0.697","1.38","3.97","0.807","0.360","0.17","0.16","0.12","4.68","5.49","10.17","0.863"
"50","2026","UTSA","AAC","0.747","1.46","4.63","0.932","0.409","0.21","0.21","0.14","5.54","2.20","7.74","0.700"
"51","2026","Oklahoma St.","Big 12","0.779","1.55","4.62","0.915","0.401","0.20","0.20","0.15","5.65","4.72","10.37","0.879"
"52","2026","Baylor","Big 12","0.774","1.45","4.32","0.809","0.364","0.16","0.16","0.15","4.73","4.62","9.35","0.818"
"53","2026","FGCU","ASUN","0.752","1.44","3.98","0.937","0.410","0.18","0.22","0.14","4.59","2.78","7.37","0.668"
"54","2026","Charlotte","AAC","0.794","1.60","4.18","0.905","0.397","0.19","0.20","0.16","5.41","3.40","8.82","0.759"
"55","2026","TCU","Big 12","0.853","1.75","5.02","0.854","0.382","0.20","0.18","0.17","4.99","3.98","8.98","0.778"
"56","2026","Kent St.","MAC","0.763","1.31","4.88","0.874","0.389","0.20","0.18","0.14","3.94","1.56","5.49","0.436"
"57","2026","UAB","AAC","0.870","1.67","5.38","0.899","0.397","0.19","0.20","0.19","5.53","1.68","7.21","0.658"
"58","2026","UNCW","CAA","0.643","1.23","3.48","0.827","0.370","0.18","0.17","0.10","4.51","5.57","10.09","0.857"
"59","2026","DBU","CUSA","0.818","1.58","5.52","0.938","0.408","0.21","0.22","0.15","6.04","4.05","10.09","0.860"
"60","2026","Louisville","ACC","0.871","1.83","5.52","0.988","0.431","0.22","0.24","0.19","6.08","3.06","9.14","0.795"
"61","2026","Tarleton St.","WAC","0.731","1.38","4.34","0.833","0.372","0.17","0.17","0.14","4.21","2.79","7.00","0.619"
"62","2026","Houston","Big 12","0.784","1.56","4.63","0.856","0.380","0.17","0.17","0.15","5.09","4.11","9.19","0.801"
"63","2026","Southeastern La.","Southland","0.795","1.54","4.91","0.853","0.376","0.17","0.17","0.15","4.35","0.60","4.95","0.365"
"64","2026","Mercer","SoCon","0.743","1.50","4.35","1.021","0.442","0.22","0.25","0.14","5.95","2.90","8.86","0.765"
"65","2026","Iowa","Big Ten","0.786","1.49","5.02","0.909","0.400","0.19","0.19","0.14","5.10","4.46","9.56","0.834"
"66","2026","Southeast Mo. St.","OVC","0.796","1.47","4.32","0.867","0.384","0.19","0.18","0.15","4.27","1.88","6.15","0.518"
"67","2026","South Alabama","Sun Belt","0.722","1.47","3.95","0.837","0.372","0.18","0.17","0.13","4.99","3.89","8.88","0.769"
"68","2026","High Point","Big South","0.766","1.39","4.96","0.908","0.398","0.18","0.20","0.14","4.41","1.58","5.99","0.502"
"69","2026","South Carolina","SEC","0.720","1.44","4.62","0.793","0.350","0.14","0.15","0.13","4.94","4.91","9.85","0.850"
"70","2026","ETSU","SoCon","0.733","1.40","4.74","0.911","0.400","0.20","0.20","0.13","5.17","3.63","8.80","0.756"
"71","2026","Illinois","Big Ten","0.714","1.27","4.14","0.789","0.353","0.16","0.14","0.12","4.16","3.48","7.64","0.691"
"72","2026","Purdue","Big Ten","0.808","1.59","4.96","0.910","0.399","0.20","0.20","0.16","5.35","1.88","7.22","0.661"
"73","2026","VCU","Atlantic 10","0.705","1.42","4.80","0.814","0.363","0.17","0.16","0.12","3.54","3.41","6.95","0.612"
"74","2026","Louisiana Tech","CUSA","0.757","1.50","4.20","0.815","0.363","0.15","0.16","0.14","4.94","4.57","9.51","0.827"
"75","2026","Stanford","ACC","0.855","1.87","4.85","0.910","0.398","0.18","0.21","0.18","6.34","3.92","10.26","0.870"
"76","2026","Charleston So.","Big South","0.811","1.49","5.07","0.879","0.396","0.20","0.18","0.16","4.65","1.11","5.77","0.472"
"77","2026","Minnesota","Big Ten","0.706","1.24","4.23","0.863","0.382","0.18","0.18","0.12","4.41","3.80","8.21","0.720"
"78","2026","Louisiana","Sun Belt","0.759","1.31","5.19","0.735","0.333","0.13","0.13","0.14","3.69","5.24","8.94","0.775"
"79","2026","Duke","ACC","0.748","1.47","4.98","0.890","0.390","0.19","0.20","0.13","5.27","5.01","10.27","0.873"
